language,intent,input,response
marathi,emergency,मला तातडीची मदत हवी आहे,Please call emergency services immediately. This seems urgent.
english,greeting,Hello,Hello! How can I assist you with your health today?
hindi,greeting,नमस्ते,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,नमस्कार,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Bye,Goodbye! Take care and stay healthy.
hindi,goodbye,अलविदा,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,बाय,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I feel dizzy,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे चक्कर आ रहे हैं,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मला चक्कर येते,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,Side effects of cetirizine,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,सेटिरिज़िन के दुष्प्रभाव,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,सेटिरीझिनचे साइड इफेक्ट्स,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Can I meet a specialist?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,क्या मैं विशेषज्ञ से मिल सकता हूँ?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,मी तज्ञाला भेटू शकतो का?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Healthy lifestyle suggestions,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,स्वस्थ जीवनशैली के सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,निरोगी जीवनशैलीसाठी सूचना,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,How to handle a seizure?,Please call emergency services immediately. This seems urgent.
hindi,emergency,दौरे को कैसे संभालें?,Please call emergency services immediately. This seems urgent.
marathi,emergency,झटका आल्यावर काय करावे?,Please call emergency services immediately. This seems urgent.
english,greeting,Hey,Hello! How can I assist you with your health today?
hindi,greeting,अरे,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,अरे,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Bye,Goodbye! Take care and stay healthy.
hindi,goodbye,अलविदा,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,बाय,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,My stomach hurts,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मेरा पेट दर्द कर रहा है,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,माझ्या पोटात दुखतंय,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,How does aspirin work?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,एस्पिरिन कैसे काम करता है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,एस्पिरिन कशी कार्य करते?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Schedule a checkup,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,चेकअप शेड्यूल करें,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,चेकअपचे वेळापत्रक बनवा,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Daily wellness tips,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,दैनिक स्वास्थ्य सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,दैनंदिन आरोग्य टिप्स,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,Emergency contact?,Please call emergency services immediately. This seems urgent.
hindi,emergency,आपातकालीन संपर्क?,Please call emergency services immediately. This seems urgent.
marathi,emergency,तातडीचा संपर्क कोण?,Please call emergency services immediately. This seems urgent.
english,greeting,Hi,Hello! How can I assist you with your health today?
hindi,greeting,हाय,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,हाय,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Catch you later,Goodbye! Take care and stay healthy.
hindi,goodbye,फिर बात करते हैं,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,नंतर बोलू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm coughing a lot,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मैं बहुत खांस रहा हूँ,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मी खूप खोकतो आहे,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,How does aspirin work?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,एस्पिरिन कैसे काम करता है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,एस्पिरिन कशी कार्य करते?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,How can I book a consultation?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,मैं परामर्श कैसे बुक कर सकता हूँ?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,सल्ला कसा बुक करू?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,How to stay fit?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,फिट कैसे रहें?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,फिट कसे राहायचे?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,I need ambulance,Please call emergency services immediately. This seems urgent.
hindi,emergency,मुझे एम्बुलेंस चाहिए,Please call emergency services immediately. This seems urgent.
marathi,emergency,मला रुग्णवाहिका हवी आहे,Please call emergency services immediately. This seems urgent.
english,greeting,Good evening,Hello! How can I assist you with your health today?
hindi,greeting,शुभ संध्या,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,शुभ संध्या,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Goodbye,Goodbye! Take care and stay healthy.
hindi,goodbye,फिर मिलेंगे,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,पुन्हा भेटू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm coughing a lot,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मैं बहुत खांस रहा हूँ,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मी खूप खोकतो आहे,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,What is paracetamol?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,पैरासिटामोल क्या है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,पॅरासिटामोल म्हणजे काय?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Can I meet a specialist?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,क्या मैं विशेषज्ञ से मिल सकता हूँ?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,मी तज्ञाला भेटू शकतो का?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Best diet for weight loss,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,वज़न घटाने के लिए सर्वोत्तम आहार,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,वजन कमी करण्यासाठी सर्वोत्तम आहार,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,What to do in a heart attack?,Please call emergency services immediately. This seems urgent.
hindi,emergency,दिल के दौरे में क्या करें?,Please call emergency services immediately. This seems urgent.
marathi,emergency,हृदयविकाराच्या झटक्यात काय करावे?,Please call emergency services immediately. This seems urgent.
english,greeting,Hi,Hello! How can I assist you with your health today?
hindi,greeting,हाय,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,हाय,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Bye,Goodbye! Take care and stay healthy.
hindi,goodbye,अलविदा,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,बाय,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm feeling feverish,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे बुखार जैसा लग रहा है,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,माझं अंग गरम आहे,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,What is paracetamol?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,पैरासिटामोल क्या है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,पॅरासिटामोल म्हणजे काय?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,I want to see a doctor,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,मैं डॉक्टर को दिखाना चाहता हूँ,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,मला डॉक्टरकडे जायचं आहे,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Healthy lifestyle suggestions,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,स्वस्थ जीवनशैली के सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,निरोगी जीवनशैलीसाठी सूचना,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,How to handle a seizure?,Please call emergency services immediately. This seems urgent.
hindi,emergency,दौरे को कैसे संभालें?,Please call emergency services immediately. This seems urgent.
marathi,emergency,झटका आल्यावर काय करावे?,Please call emergency services immediately. This seems urgent.
english,greeting,Good morning,Hello! How can I assist you with your health today?
hindi,greeting,सुप्रभात,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,शुभ सकाळ,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Bye,Goodbye! Take care and stay healthy.
hindi,goodbye,अलविदा,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,बाय,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I have a sore throat,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मेरे गले में खराश है,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,माझ्या घशाला त्रास होतो,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,What is this medicine for?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,यह दवा किस लिए है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,ही औषध कशासाठी आहे?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Book an appointment,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,अपॉइंटमेंट बुक करें,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,अपॉइंटमेंट बुक करा,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Healthy lifestyle suggestions,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,स्वस्थ जीवनशैली के सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,निरोगी जीवनशैलीसाठी सूचना,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,I need ambulance,Please call emergency services immediately. This seems urgent.
hindi,emergency,मुझे एम्बुलेंस चाहिए,Please call emergency services immediately. This seems urgent.
marathi,emergency,मला रुग्णवाहिका हवी आहे,Please call emergency services immediately. This seems urgent.
english,greeting,Hi,Hello! How can I assist you with your health today?
hindi,greeting,हाय,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,हाय,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Talk to you soon,Goodbye! Take care and stay healthy.
hindi,goodbye,जल्द बात करेंगे,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,लवकरच बोलू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm feeling feverish,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे बुखार जैसा लग रहा है,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,माझं अंग गरम आहे,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,Side effects of cetirizine,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,सेटिरिज़िन के दुष्प्रभाव,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,सेटिरीझिनचे साइड इफेक्ट्स,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Book an appointment,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,अपॉइंटमेंट बुक करें,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,अपॉइंटमेंट बुक करा,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Daily wellness tips,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,दैनिक स्वास्थ्य सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,दैनंदिन आरोग्य टिप्स,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,I need emergency help,Please call emergency services immediately. This seems urgent.
hindi,emergency,मुझे आपातकालीन सहायता चाहिए,Please call emergency services immediately. This seems urgent.
marathi,emergency,मला तातडीची मदत हवी आहे,Please call emergency services immediately. This seems urgent.
english,greeting,How are you?,Hello! How can I assist you with your health today?
hindi,greeting,आप कैसे हैं?,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,तुमचे कसे आहे?,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Bye,Goodbye! Take care and stay healthy.
hindi,goodbye,अलविदा,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,बाय,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I have a sore throat,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मेरे गले में खराश है,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,माझ्या घशाला त्रास होतो,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,Can I take ibuprofen?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,क्या मैं इबुप्रोफेन ले सकता हूँ?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,मी आयबुप्रोफेन घेऊ शकतो का?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Doctor availability?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,डॉक्टर उपलब्धता?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,डॉक्टर उपलब्ध आहेत का?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Healthy lifestyle suggestions,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,स्वस्थ जीवनशैली के सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,निरोगी जीवनशैलीसाठी सूचना,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,What to do in a heart attack?,Please call emergency services immediately. This seems urgent.
hindi,emergency,दिल के दौरे में क्या करें?,Please call emergency services immediately. This seems urgent.
marathi,emergency,हृदयविकाराच्या झटक्यात काय करावे?,Please call emergency services immediately. This seems urgent.
english,greeting,Hey,Hello! How can I assist you with your health today?
hindi,greeting,अरे,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,अरे,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Goodbye,Goodbye! Take care and stay healthy.
hindi,goodbye,फिर मिलेंगे,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,पुन्हा भेटू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I feel dizzy,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे चक्कर आ रहे हैं,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मला चक्कर येते,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,How does aspirin work?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,एस्पिरिन कैसे काम करता है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,एस्पिरिन कशी कार्य करते?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Doctor availability?,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,डॉक्टर उपलब्धता?,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,डॉक्टर उपलब्ध आहेत का?,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Healthy lifestyle suggestions,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,स्वस्थ जीवनशैली के सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,निरोगी जीवनशैलीसाठी सूचना,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,"Help, someone fainted",Please call emergency services immediately. This seems urgent.
hindi,emergency,"मदद करें, कोई बेहोश हो गया है",Please call emergency services immediately. This seems urgent.
marathi,emergency,"मदत करा, कोणी तरी बेशुद्ध पडले आहे",Please call emergency services immediately. This seems urgent.
english,greeting,Hi,Hello! How can I assist you with your health today?
hindi,greeting,हाय,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,हाय,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,See you later,Goodbye! Take care and stay healthy.
hindi,goodbye,बाद में मिलते हैं,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,नंतर भेटू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm coughing a lot,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मैं बहुत खांस रहा हूँ,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,मी खूप खोकतो आहे,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,How does aspirin work?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,एस्पिरिन कैसे काम करता है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,एस्पिरिन कशी कार्य करते?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,Schedule a checkup,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,चेकअप शेड्यूल करें,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,चेकअपचे वेळापत्रक बनवा,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,Healthy lifestyle suggestions,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,स्वस्थ जीवनशैली के सुझाव,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,निरोगी जीवनशैलीसाठी सूचना,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,I need ambulance,Please call emergency services immediately. This seems urgent.
hindi,emergency,मुझे एम्बुलेंस चाहिए,Please call emergency services immediately. This seems urgent.
marathi,emergency,मला रुग्णवाहिका हवी आहे,Please call emergency services immediately. This seems urgent.
english,greeting,How are you?,Hello! How can I assist you with your health today?
hindi,greeting,आप कैसे हैं?,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,तुमचे कसे आहे?,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,Goodbye,Goodbye! Take care and stay healthy.
hindi,goodbye,फिर मिलेंगे,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,पुन्हा भेटू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm feeling feverish,Please describe your symptoms in detail. It’s best to consult a doctor.
hindi,symptom_check,मुझे बुखार जैसा लग रहा है,कृपया अपने लक्षणों का विस्तार से वर्णन करें। डॉक्टर से परामर्श करना सबसे अच्छा होगा।
marathi,symptom_check,माझं अंग गरम आहे,कृपया तुमची लक्षणे तपशीलवार सांगा. डॉक्टरांचा सल्ला घेणे चांगले ठरेल.
english,medicine_info,How does aspirin work?,This medicine is commonly used for relief. Please consult a physician before use.
hindi,medicine_info,एस्पिरिन कैसे काम करता है?,यह दवा आमतौर पर राहत के लिए उपयोग की जाती है। उपयोग से पहले कृपया एक चिकित्सक से परामर्श करें।
marathi,medicine_info,एस्पिरिन कशी कार्य करते?,ही औषधे सामान्यतः आरामासाठी वापरली जातात. वापरापूर्वी कृपया डॉक्टरांचा सल्ला घ्या.
english,appointment,I want to see a doctor,You can book an appointment through our app or website. Would you like help with that?
hindi,appointment,मैं डॉक्टर को दिखाना चाहता हूँ,आप हमारे ऐप या वेबसाइट के माध्यम से अपॉइंटमेंट बुक कर सकते हैं। क्या आप इसमें मदद चाहते हैं?
marathi,appointment,मला डॉक्टरकडे जायचं आहे,आपण आमच्या अ‍ॅप किंवा वेबसाइटद्वारे अपॉइंटमेंट बुक करू शकता. तुम्हाला त्यासाठी मदत हवी आहे का?
english,wellness_advice,How to stay fit?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
hindi,wellness_advice,फिट कैसे रहें?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
marathi,wellness_advice,फिट कसे राहायचे?,"Stay hydrated, eat healthy, exercise regularly, and get enough sleep."
english,emergency,"Help, someone fainted",Please call emergency services immediately. This seems urgent.
hindi,emergency,"मदद करें, कोई बेहोश हो गया है",Please call emergency services immediately. This seems urgent.
marathi,emergency,"मदत करा, कोणी तरी बेशुद्ध पडले आहे",Please call emergency services immediately. This seems urgent.
english,greeting,Good evening,Hello! How can I assist you with your health today?
hindi,greeting,शुभ संध्या,नमस्ते! मैं आज आपकी स्वास्थ्य से संबंधित कैसे मदद कर सकता हूँ?
marathi,greeting,शुभ संध्या,नमस्कार! मी आज तुमच्या आरोग्यासाठी कशी मदत करू शकतो?
english,goodbye,See you later,Goodbye! Take care and stay healthy.
hindi,goodbye,बाद में मिलते हैं,अलविदा! ध्यान रखना और स्वस्थ रहना।
marathi,goodbye,नंतर भेटू,नमस्कार! काळजी घ्या आणि निरोगी रहा.
english,symptom_check,I'm coughing a lot,Please describe your symptoms in detail. It’s best to consult a doctor.
